"DisplayName","DisplayVersion"
"Google Chrome","80.0.3987.149"
"TeamViewer Host","15.14.5"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148"
"Teams Machine-Wide Installer","1.3.0.362"
"Google Update Helper","1.3.35.451"
"Office 16 Click-to-Run Extensibility Component","16.0.13628.20274"
"Office 16 Click-to-Run Localization Component","16.0.13628.20274"
"Adobe Refresh Manager","1.8.0"
"Adobe Acrobat Reader DC","21.001.20140"
"Microsoft Search in Bing","2.0.2"
"DefaultPackMSI","4.6.2.0"
